supplement_name,category,description,used_for,benefits,how_it_works,recommended_dosage,recommended_timing,bioavailability_notes,clinical_description,tags,source_url,notes
HMB,Muscle Gain & Exercise,HMB is a metabolite of the essential amino acid leucine that plays an anticatabolic role in muscle tissue.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"HMB may affect metabolic signaling, glucose handling, or lipid-related pathways.","Supplementation of HMB tends to be in the dosage range of 1–3 grams daily for the purpose of reducing muscle mass losses over time (anticatabolic). As HMB is said to be 20-fold more potent than leucine for this purpose, it is seen as equivalent to 20–60g of leucine supplementation.[1] HMB, a water-soluble metabolite of leucine, is excreted in the urine and is not reabsorbed by the kidneys back into the bloodstream.","Daily, following dosage notes.",,"HMB is a metabolite of the essential amino acid leucine that plays an anticatabolic role in muscle tissue. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. HMB may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;lipids;exercise;heart-health,https://examine.com/supplements/hmb/,Check pregnancy/lactation safety before client use.
Hordenine,Muscle Gain & Exercise,"Hordenine (N,N-dimethyltyramine) is an adrenergic-like compound found in a variety of foods investigated for its fat-burning effects.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Hordenine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.",There is currently insufficient evidence to recommend an oral dose of hordenine supplementation for human consumption.,,,"Hordenine (N,N-dimethyltyramine) is an adrenergic-like compound found in a variety of foods investigated for its fat-burning effects. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Hordenine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;cognition;exercise;stimulant;hormones,https://examine.com/supplements/hordenine/,Paraphrased from public Examine page extraction; educational only.
Horny Goat Weed,Mental Health,"Horny goat weed, scientifically known as Epimedium, is a plant used in traditional Chinese medicine.",Mental Health,Potential benefits are context-specific; review the source evidence before using Horny Goat Weed in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Horny Goat Weed clinically.,"Testosterone boosting effects in rats have been noted at a dosage of 200mg/kg of a 40% extract (80mg/kg Icariin), and based on body weight conversions from rats to humans[1] this results in an estimated human dose of: 900mg Icariin for a 150lb person 1,200mg Icariin for a 200lb person 1,500mg Icariin for a 250lb person Studies that use a lower dosage of Icariin (1-10mg/kg) are approximately equal to: 11-110mg Icarii",,,"Horny goat weed, scientifically known as Epimedium, is a plant used in traditional Chinese medicine. Potential benefits are context-specific; review the source evidence before using Horny Goat Weed in a protocol. Mechanism details are not clear from the public summary; review the source before applying Horny Goat Weed clinically. Paraphrased from public Examine page extraction; educational only.",mental-health;cognition;hormones;heart-health,https://examine.com/supplements/horny-goat-weed/,Paraphrased from public Examine page extraction; educational only.
Horse Chestnut,General Health,Horse chestnut (Aesculus hippocastanum) extract is a traditional botanical remedy derived from the seeds of a tree native to the Balkan peninsula.,General Health,Potential benefits are context-specific; review the source evidence before using Horse Chestnut in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Horse Chestnut clinically.,"Formulation: Horse chestnut is commonly available as a standardized seed extract in the form of capsules, tablets, topical creams/gels, and liquid extracts. Most of the evidence supports using oral capsule formulations containing 16% to 20% of aescin (its main active ingredient). Range of dosages studied: 50 to 150 mg",,,Horse chestnut (Aesculus hippocastanum) extract is a traditional botanical remedy derived from the seeds of a tree native to the Balkan peninsula. Potential benefits are context-specific; review the source evidence before using Horse Chestnut in a protocol. Mechanism details are not clear from the public summary; review the source before applying Horse Chestnut clinically. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;hormones,https://examine.com/supplements/horse-chestnut/,Paraphrased from public Examine page extraction; educational only.
Huperzine A,Muscle Gain & Exercise,"Huperzine-A is a cognitive enhancer that inhibits an enzyme that degrades the learning neurotransmitter, acetylcholine; due to this, a relative increase occurs.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Huperzine A may influence choline availability and acetylcholine-related signaling.,"Supplementation of huperzine-A tends to be in the range of 50-200mcg daily, and while this can be divided into multiple dosages throughout the day it tends to be taken at a single dose. Supplementation of huperzine-A does not require food to be coingested with it and can be taken in a fasted state.",Split across the day as described in dosage notes.,,"Huperzine-A is a cognitive enhancer that inhibits an enzyme that degrades the learning neurotransmitter, acetylcholine; due to this, a relative increase occurs. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Huperzine A may influence choline availability and acetylcholine-related signaling. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;cognition;exercise;hormones,https://examine.com/supplements/huperzine-a/,Paraphrased from public Examine page extraction; educational only.
Hyaluronic Acid,General Health,"Hyaluronic acid (HA) is a large polysaccharide that is found naturally throughout the body and in high concentrations in the skin, the joint fluid, and the eye.",General Health,Potential benefits are context-specific; review the source evidence before using Hyaluronic Acid in a protocol.,"Hyaluronic Acid is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","For oral supplementation, the recommended dosage is 120 mg per day, with supplements usually available in either 60 mg or 120 mg tablets.[1] For dry eye treatments, drops are usually available in 0.3% solutions, although they may be effective from as low as 0.1%.[2] Topical creams and serums range from 0.1% to 0.3% HA concentrations, and will contain a mixture of high- and low-molecular-weight HA.[3]","Daily, following dosage notes.",,"Hyaluronic acid (HA) is a large polysaccharide that is found naturally throughout the body and in high concentrations in the skin, the joint fluid, and the eye. Potential benefits are context-specific; review the source evidence before using Hyaluronic Acid in a protocol. Hyaluronic Acid is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;hormones,https://examine.com/supplements/hyaluronic-acid/,Paraphrased from public Examine page extraction; educational only.
Hydroxyapatite,General Health,Hydroxyapatite is a calcium-phosphate compound which makes up the hard structural part of bones and teeth.,General Health,Potential benefits are context-specific; review the source evidence before using Hydroxyapatite in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Hydroxyapatite clinically.,"In dietary supplements, ossein-hydroxyapatite and microcrystalline hydroxyapatite contain about 20-25% of elemental calcium by weight. Typical dosage of ossein-hydroxyapatite is two 830 mg tablets twice daily; each tablet contains 178 mg elemental calcium, for a daily total of 712 mg elemental calcium.[1] A typical dose of microcrystalline hydroxyapatite compound is eight 500 mg capsules;","Daily, following dosage notes.",,Hydroxyapatite is a calcium-phosphate compound which makes up the hard structural part of bones and teeth. Potential benefits are context-specific; review the source evidence before using Hydroxyapatite in a protocol. Mechanism details are not clear from the public summary; review the source before applying Hydroxyapatite clinically. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;hormones,https://examine.com/supplements/hydroxyapatite/,Paraphrased from public Examine page extraction; educational only.
Idebenone,Immune & Inflammation,Idebenone (CV-2619) is a synthetic derivative of CoQ10 that appears to retain the antioxidative and bioenergetic effects of its parent compound.,Immune & Inflammation,Potential benefits are context-specific; review the source evidence before using Idebenone in a protocol.,Idebenone is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,Idebenone (CV-2619) is a synthetic derivative of CoQ10 that appears to retain the antioxidative and bioenergetic effects of its parent compound. Potential benefits are context-specific; review the source evidence before using Idebenone in a protocol. Idebenone is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,immune-inflammation;inflammation,https://examine.com/supplements/idebenone/,Check pregnancy/lactation safety before client use.
Inositol,Metabolic Health,Inositol is a naturally occurring sugar alcohol involved in cellular signalling.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Inositol may affect metabolic signaling, glucose handling, or lipid-related pathways.","Formulation Most inositol supplements contain myo-inositol, which is also the most studied form. Some supplements also contain a combination of myo-inositol and D–chiro-inositol or D–chiro-inositol alone. Dosage forms for oral use include capsules and powders. Range of dosages studied Inositol has been studied at dosages ranging from 28 mg to 18,000 mg (18 grams) daily.","Daily, following dosage notes.",,"Inositol is a naturally occurring sugar alcohol involved in cellular signalling. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Inositol may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use.",metabolic-health;blood-sugar;cognition;exercise;hormones,https://examine.com/supplements/inositol/,Check pregnancy/lactation safety before client use.
Insect Protein,General Health,"Insect protein is protein powder made from edible insects, including grasshoppers, crickets, and mealworms.",General Health,Potential benefits are context-specific; review the source evidence before using Insect Protein in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Insect Protein clinically.,No clear public dosage summary extracted; review source before use.,,,"Insect protein is protein powder made from edible insects, including grasshoppers, crickets, and mealworms. Potential benefits are context-specific; review the source evidence before using Insect Protein in a protocol. Mechanism details are not clear from the public summary; review the source before applying Insect Protein clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/insect-protein/,Check pregnancy/lactation safety before client use.
Inulin,Gut Health,"Inulin is a type of soluble fiber that can be taken as a supplement or found naturally in foods (e.g., Jerusalem artichokes, chicory, asparagus, garlic, onions, wheat, bananas).",Gut Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Inulin may act through gut-microbiome or digestive pathways.,No clear public dosage summary extracted; review source before use.,,,"Inulin is a type of soluble fiber that can be taken as a supplement or found naturally in foods (e.g., Jerusalem artichokes, chicory, asparagus, garlic, onions, wheat, bananas). Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Inulin may act through gut-microbiome or digestive pathways. Check pregnancy/lactation safety before client use.",gut-health;blood-sugar;lipids,https://examine.com/supplements/inulin/,Check pregnancy/lactation safety before client use.
Inulin-Type Fructans,General Health,Inulin-type fructans (ITFs) are a group of naturally occurring polysaccharides that have prebiotic properties.,General Health,Potential benefits are context-specific; review the source evidence before using Inulin-Type Fructans in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Inulin-Type Fructans clinically.,No clear public dosage summary extracted; review source before use.,,,Inulin-type fructans (ITFs) are a group of naturally occurring polysaccharides that have prebiotic properties. Potential benefits are context-specific; review the source evidence before using Inulin-Type Fructans in a protocol. Mechanism details are not clear from the public summary; review the source before applying Inulin-Type Fructans clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/inulin-type-fructans/,Check pregnancy/lactation safety before client use.
Iodine,Mental Health,Iodine is an essential trace mineral used for thyroid hormone synthesis.,Mental Health,Potential benefits are context-specific; review the source evidence before using Iodine in a protocol.,Iodine likely works by correcting or supporting nutrient-dependent physiological processes.,"Formulation Iodine can be taken orally as tablets, capsules, or liquid drops. Studied formulations include potassium iodide, potassium iodate, molecular iodine (I2), sodium iodide (iodized salt), or iodized oil. Potassium iodide is the most common form found in supplements. Range of dosages studied Studies have given iodine in dosages ranging from 50 µg to 300 µg taken once daily for up to 18 months.","Daily, following dosage notes.",,Iodine is an essential trace mineral used for thyroid hormone synthesis. Potential benefits are context-specific; review the source evidence before using Iodine in a protocol. Iodine likely works by correcting or supporting nutrient-dependent physiological processes. Paraphrased from public Examine page extraction; educational only.,mental-health;cognition;hormones,https://examine.com/supplements/iodine/,Paraphrased from public Examine page extraction; educational only.
IP6,General Health,"Insositol hexaphosphate (IP6) is naturally found in cereals, where it is also referred to as phytic acid.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying IP6 clinically.,No clear public dosage summary extracted; review source before use.,,,"Insositol hexaphosphate (IP6) is naturally found in cereals, where it is also referred to as phytic acid. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying IP6 clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/ip6/,Check pregnancy/lactation safety before client use.
Iron,Mental Health,Iron is an essential mineral best known for helping red blood cells to carry oxygen.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Iron is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulation Iron is available orally as a tablet, capsule, or liquid in various chemical forms including the following:[1] Iron salts (e.g., ferrous gluconate, ferrous sulfate, ferrous fumarate) Iron-amino acid chelates (e.g., ferrous bisglycinate) Iron-polysaccharide complexes Heme-iron polypeptides Liposomal iron Lipophilic iron chelates (e.g.,",,,Iron is an essential mineral best known for helping red blood cells to carry oxygen. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Iron is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,mental-health;stress;inflammation;heart-health,https://examine.com/supplements/iron/,Check pregnancy/lactation safety before client use.
Isoleucine,Muscle Gain & Exercise,Isoleucine is one of the three branched-chain amino acids (BCAAs).,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Isoleucine clinically.,"The recommended daily allowance (RDA) of isoleucine established by the Institute of Medicine is 19 mg of isoleucine per kilogram of bodyweight (mg/kg) daily. This is the average amount of isoleucine that meets the nutritional requirements of most people.[1] Isoleucine can be supplemented individually, but it is more commonly taken as part of a BCAA or complete protein supplement (e.g., whey protein, soy protein).","Daily, following dosage notes.",,Isoleucine is one of the three branched-chain amino acids (BCAAs). Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Isoleucine clinically. Paraphrased from public Examine page extraction; educational only.,muscle-gain-exercise;blood-sugar;exercise;hormones,https://examine.com/supplements/isoleucine/,Paraphrased from public Examine page extraction; educational only.
Japanese Catnip,Immune & Inflammation,Schizonepeta tenuifolia (Japanese catnip) is a medicinal herb from China and Korea that appears to be selectively anti-inflammatory (to a moderate degree) and may suppress allergic responses.,Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Japanese Catnip is discussed in relation to oxidative-stress or inflammatory pathways.,"The traditional use of Japanese catnip for fighting colds and reducing skin eruptions involved taking 3 to 10 grams of a decoction. There are no human studies to confirm whether this is the optimal dose range,",,,Schizonepeta tenuifolia (Japanese catnip) is a medicinal herb from China and Korea that appears to be selectively anti-inflammatory (to a moderate degree) and may suppress allergic responses. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Japanese Catnip is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,immune-inflammation;inflammation;hormones,https://examine.com/supplements/japanese-catnip/,Paraphrased from public Examine page extraction; educational only.
Japanese Knotweed,General Health,"Japanese Knotweed, or Polygonum cuspidatum, is a Traditional Chinese Medicine used for circulation and heart health.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Japanese Knotweed clinically.,"The only current human study used Japanese Knotweed at 200mg daily and standardized to 40mg Resveratrol which was effective. Although there are other bioactives in Japanese Knotweed, it may be prudent to dose it in accordance to the dosing guidelines on the resveratrol page.","Daily, following dosage notes.",,"Japanese Knotweed, or Polygonum cuspidatum, is a Traditional Chinese Medicine used for circulation and heart health. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Japanese Knotweed clinically. Paraphrased from public Examine page extraction; educational only.",general-health;hormones;heart-health,https://examine.com/supplements/japanese-knotweed/,Paraphrased from public Examine page extraction; educational only.
Japanese Raisin Tree,General Health,Hovenia dulcis (Japanese raisin tree) is a source of dihydromyricetin (ampelopsin) and has traditionally been used as an anti-alcohol herb and hangover cure.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Japanese Raisin Tree clinically.,"An ethanolic extract of 125 mg per kilogram of body weight has been used with efficacy in rats, which translates to the following estimated human doses: 1,400 mg for a 150 lb person 1,800 mg for a 200 lb person 2,300 mg for a 250 lb person These are estimated human doses based on rat studies, and it is uncertain whether they are the optimal dosage or not.",,,Hovenia dulcis (Japanese raisin tree) is a source of dihydromyricetin (ampelopsin) and has traditionally been used as an anti-alcohol herb and hangover cure. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Japanese Raisin Tree clinically. Check pregnancy/lactation safety before client use.,general-health;cognition;exercise;hormones,https://examine.com/supplements/japanese-raisin-tree/,Check pregnancy/lactation safety before client use.
Jiaogulan,Mental Health,Gynostemma pentaphyllum (Southern Ginseng) is a herb given Ginseng status although not related to Panax Ginseng.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Jiaogulan is discussed in relation to oxidative-stress or inflammatory pathways.,"Although not too many trials have been conducted, the two studies noting that Gynostemma Pentaphyllum could be useful to help diabetes used 6g of the leaves (dry weight) and made tea from that. The leaves themselves are a good source of both classes of active ingredients (the saponins, of which Gypenosides are a subset, and the flavonoids), and this is currently the best known dosage to use. Alternatively,",,,Gynostemma pentaphyllum (Southern Ginseng) is a herb given Ginseng status although not related to Panax Ginseng. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Jiaogulan is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,mental-health;blood-sugar;stress;cognition;inflammation,https://examine.com/supplements/jiaogulan/,Paraphrased from public Examine page extraction; educational only.
Jojoba,General Health,Simmondsia chinensis (Jojoba) is a commonly used skin health supplement that may have appetite suppressing effects.,General Health,Potential benefits are context-specific; review the source evidence before using Jojoba in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Jojoba clinically.,No clear public dosage summary extracted; review source before use.,,,Simmondsia chinensis (Jojoba) is a commonly used skin health supplement that may have appetite suppressing effects. Potential benefits are context-specific; review the source evidence before using Jojoba in a protocol. Mechanism details are not clear from the public summary; review the source before applying Jojoba clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/jojoba/,Check pregnancy/lactation safety before client use.
Jujube,Mental Health,"Ziziphus Jujuba (Chinese/Korean Date, Jujube) is a plant which bears fruits and seeds that are used for medicinal purposes in Traditional Chinese Medicine.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Jujube clinically.,"Traditional usage of Jujube is taking 50g of the fruits (20 individual 2-2.5cm diameter fruits) and doing a hot water extract, either a soup of a beverage. There currently is not enough evidence in humans to establish an effective oral dose of Zizyphus Jujube supplements but estimating from animal studies finding benefits with 500mg/kg for anxiety reduction,",,,"Ziziphus Jujuba (Chinese/Korean Date, Jujube) is a plant which bears fruits and seeds that are used for medicinal purposes in Traditional Chinese Medicine. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Jujube clinically. Paraphrased from public Examine page extraction; educational only.",mental-health;gut-health;hormones,https://examine.com/supplements/jujube/,Paraphrased from public Examine page extraction; educational only.
Kaempferol,General Health,"Kaempferol is one of the bioflavonoids that is present in high levels in cruciferous vegetables, and may mediate some of the bioactivities of these plants.",General Health,Potential benefits are context-specific; review the source evidence before using Kaempferol in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Kaempferol clinically.,No clear public dosage summary extracted; review source before use.,,,"Kaempferol is one of the bioflavonoids that is present in high levels in cruciferous vegetables, and may mediate some of the bioactivities of these plants. Potential benefits are context-specific; review the source evidence before using Kaempferol in a protocol. Mechanism details are not clear from the public summary; review the source before applying Kaempferol clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/kaempferol/,Check pregnancy/lactation safety before client use.
Kanna,Mental Health,"Kanna comes from a herb called Sceletium tortuosum, and it is used traditionally to treat fatigue, stress, and sleeplessness.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Kanna clinically.,Currently studies using kanna have used the brand name Zembrin at doses of 8 to25 mg prior to cognitive testing. This brand name is a 2:1 concentration of kanna based on dry weight and is considered equivalent to 16 to 50 mg of the dry weight of the plant itself. Kanna has been studied as oral administration (capsules) but traditionally the leaves have been chewed and saliva swallowed for similar effects.,,,"Kanna comes from a herb called Sceletium tortuosum, and it is used traditionally to treat fatigue, stress, and sleeplessness. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Kanna clinically. Paraphrased from public Examine page extraction; educational only.",mental-health;stress;sleep;cognition;exercise;hormones,https://examine.com/supplements/kanna/,Paraphrased from public Examine page extraction; educational only.
Kava,Mental Health,"Kava (Piper methysticum) is a plant that has had many traditional uses throughout history, especially among South Pacific Islanders.",Mental Health,"Human evidence appears limited, so treat benefits as uncertain.",Mechanism details are not clear from the public summary; review the source before applying Kava clinically.,"⚠️ Caution: Risk of Liver Injury No optimal dosages or durations for kava consumption have been determined at this point.[8] Kava dosing, especially in standardized formulations, may be done with reference to the kavalactone (specifically, kavapyrone; all known kavalactones are pyrones) content. Clinical trials have used dosages ranging from 100 to 400 mg/day of kava, and from 60 to 630 mg of kavalactones,",,,"Kava (Piper methysticum) is a plant that has had many traditional uses throughout history, especially among South Pacific Islanders. Human evidence appears limited, so treat benefits as uncertain. Mechanism details are not clear from the public summary; review the source before applying Kava clinically. Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.",mental-health;experimental,https://examine.com/supplements/kava/,Check pregnancy/lactation safety before client use. Evidence appears limited; human review recommended.
Keratin,General Health,"Keratins are a class of fibrous proteins that serve as the main structural component of hair, feathers, scales, horns, claws, hooves, and wool.",General Health,Potential benefits are context-specific; review the source evidence before using Keratin in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Keratin clinically.,No clear public dosage summary extracted; review source before use.,,,"Keratins are a class of fibrous proteins that serve as the main structural component of hair, feathers, scales, horns, claws, hooves, and wool. Potential benefits are context-specific; review the source evidence before using Keratin in a protocol. Mechanism details are not clear from the public summary; review the source before applying Keratin clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/keratin/,Check pregnancy/lactation safety before client use.
King of Bitters,Gut Health,Andrographis paniculata is an herb frequently used in traditional medicines to treat the common cold.,Gut Health,Potential benefits are context-specific; review the source evidence before using King of Bitters in a protocol.,Mechanism details are not clear from the public summary; review the source before applying King of Bitters clinically.,"The standard dose of Andrographis paniculata basic root extract is 2,000 – 6,000 mg. Andrographis paniculata root extract tends to have 1-2% andrographolide content, by weight, though up to 4% has been reported. Concentrated root extracts can have an andrographolide content of up to 30%. The standard dose for a concentrated extract is 200mg.",,,Andrographis paniculata is an herb frequently used in traditional medicines to treat the common cold. Potential benefits are context-specific; review the source evidence before using King of Bitters in a protocol. Mechanism details are not clear from the public summary; review the source before applying King of Bitters clinically. Paraphrased from public Examine page extraction; educational only.,gut-health;cognition,https://examine.com/supplements/king-of-bitters/,Paraphrased from public Examine page extraction; educational only.
King Oyster,Immune & Inflammation,King Oyster (Pleurotus eryngii) is a dietary mushroom that contains an assortment of bioactive molecules.,Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying King Oyster clinically.,"At this moment in time, all that can be recommended is to consume the fruiting body or stem of the King Oyster mushroom in your diet if you want the effects. Supplementation would work fine (and if we take motifs from other Bioactive Mushrooms would be around 1-3g daily) but minimal human studies have been conducted.","Daily, following dosage notes.",,King Oyster (Pleurotus eryngii) is a dietary mushroom that contains an assortment of bioactive molecules. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying King Oyster clinically. Paraphrased from public Examine page extraction; educational only.,immune-inflammation;hormones;heart-health,https://examine.com/supplements/king-oyster/,Paraphrased from public Examine page extraction; educational only.
Kokilaksha,Muscle Gain & Exercise,Asteracantha longifolia (Kokilaksha) is an ayurvedic aphrodisiac and liver protective agent.,Muscle Gain & Exercise,"Human evidence appears limited, so treat benefits as uncertain.","Kokilaksha may affect metabolic signaling, glucose handling, or lipid-related pathways.",There is currently not enough information available at this moment in time to recommend an oral dose of any medicinal component of this herb.,,,"Asteracantha longifolia (Kokilaksha) is an ayurvedic aphrodisiac and liver protective agent. Human evidence appears limited, so treat benefits as uncertain. Kokilaksha may affect metabolic signaling, glucose handling, or lipid-related pathways. Evidence appears limited; human review recommended.",muscle-gain-exercise;blood-sugar;lipids;cognition;exercise;hormones,https://examine.com/supplements/kokilaksha/,Evidence appears limited; human review recommended.
Korean Black Raspberry,General Health,Rubus coreanus (Korean black raspberry) is a dark berry sometimes brewed as a wine called bokbunja ju; it has a high levels of anthocyanins of the cyanidin type and other tannin structures that underlie its antioxidant and proerectile properties.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Korean Black Raspberry is discussed in relation to oxidative-stress or inflammatory pathways.,"The one human study on the subject matter used 30 grams of the freeze-dried berries and noted antioxidative and liver benefits associated with that dose. For the food product, this dose is probably a good starting point, and there is not enough information to assess whether bokbunja ju can be used for health reasons.",,,Rubus coreanus (Korean black raspberry) is a dark berry sometimes brewed as a wine called bokbunja ju; it has a high levels of anthocyanins of the cyanidin type and other tannin structures that underlie its antioxidant and proerectile properties. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Korean Black Raspberry is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction;,general-health;blood-sugar;inflammation;hormones,https://examine.com/supplements/korean-black-raspberry/,Paraphrased from public Examine page extraction; educational only.
Kratom,Mental Health,Kratom is an evergreen tree native to Southeast Asia whose leaves contain chemicals with partial opioid effects.,Mental Health,Potential benefits are context-specific; review the source evidence before using Kratom in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Kratom clinically.,"Because kratom has been studied in very few clinical trials, most of the information about how it is used comes from surveys and traditional use. Traditionally, kratom leaves are chewed and can also be boiled to make tea. In Western countries, kratom is usually available as a powder to be mixed with liquids and also in capsule form.[1] In a survey of 129 regular kratom users in the U.S., most consumed kratom daily,","Daily, following dosage notes.",,Kratom is an evergreen tree native to Southeast Asia whose leaves contain chemicals with partial opioid effects. Potential benefits are context-specific; review the source evidence before using Kratom in a protocol. Mechanism details are not clear from the public summary; review the source before applying Kratom clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;cognition;exercise;hormones,https://examine.com/supplements/kratom/,Paraphrased from public Examine page extraction; educational only.
Krill Oil,Metabolic Health,"Krill oil is a mixture of fatty acids high in EPA and DHA (fish oil fatty acids) in the form of phospholipids, mostly as phosphatidylcholine; it appears to be better absorbed than fish oil, may be more cardioprotective, and has some unique (unexplored) fat bur",Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Krill Oil may influence choline availability and acetylcholine-related signaling.,"Supplementation of Krill oil tends to be in the range of 1-3g daily (overall oil weight), which has been used in the clinical trials of krill oil supplementation. If supplementing in accordance with the omega-3 content, the omega-3 content that is supplemented from krill oil should be equal to approximately 2/3rds that used with basic fish oil supplementation to account for the increased absorption.","Daily, following dosage notes.",,"Krill oil is a mixture of fatty acids high in EPA and DHA (fish oil fatty acids) in the form of phospholipids, mostly as phosphatidylcholine; it appears to be better absorbed than fish oil, may be more cardioprotective, and has some unique (unexplored) fat bur Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Krill Oil may influence choline availability and acetylcholine-related signaling. Paraphrased from public Examine page extraction;",metabolic-health;lipids;hormones;heart-health,https://examine.com/supplements/krill-oil/,Paraphrased from public Examine page extraction; educational only.
Ku shen,General Health,Sophora flavescens (Ku Shen) is a medicinal herb from China that appears to possess mostly anti-cancer properties.,General Health,Potential benefits are context-specific; review the source evidence before using Ku shen in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Ku shen clinically.,No clear public dosage summary extracted; review source before use.,,,Sophora flavescens (Ku Shen) is a medicinal herb from China that appears to possess mostly anti-cancer properties. Potential benefits are context-specific; review the source evidence before using Ku shen in a protocol. Mechanism details are not clear from the public summary; review the source before applying Ku shen clinically. Check pregnancy/lactation safety before client use.,general-health,https://examine.com/supplements/ku-shen/,Check pregnancy/lactation safety before client use.
